,R,G,B
0,140,137,63
1,171,182,99
2,156,157,82
3,166,168,85
4,148,146,74
5,164,171,86
6,160,165,92
7,172,187,103
8,157,173,114
9,140,138,83
10,167,179,180
11,123,111,87
12,129,115,97
13,131,117,105
14,152,152,161
15,145,145,140
16,138,134,125
17,124,112,91
18,130,117,99
19,162,164,173
20,143,144,142
21,153,165,171
22,144,149,157
23,148,154,161
24,136,135,132
25,146,150,155
26,150,158,164
27,142,145,146
28,151,160,165
29,152,157,168
30,168,173,162
31,166,159,148
32,174,179,170
33,172,174,170
34,185,191,181
35,177,180,173
36,165,172,170
37,163,170,168
38,183,188,182
39,174,186,181
40,155,176,192
41,161,188,208
42,154,179,203
43,144,158,181
44,147,166,188
45,153,175,196
46,164,199,216
47,147,166,186
48,152,172,193
49,141,156,178
